"date","date_shortcut","gdppc"
2025-01-01,"Q1",195103.66383467
2024-10-01,"Q4",194891.130308986
2024-07-01,"Q3",196404.510157412
2024-04-01,"Q2",195073.795842131
2024-01-01,"Q1",195051.635016168
2023-10-01,"Q4",195094.560653682
2023-07-01,"Q3",194647.30905487
2023-04-01,"Q2",193933.60778284
2023-01-01,"Q1",192641.156430468
2022-10-01,"Q4",191427.676255712
2022-07-01,"Q3",189205.476105683
2022-04-01,"Q2",188236.018110438
2022-01-01,"Q1",186508.990811992
2021-10-01,"Q4",184166.276288772
2021-07-01,"Q3",182201.674463952
2021-04-01,"Q2",184437.364293913
2021-01-01,"Q1",183136.546868541
2020-10-01,"Q4",182255.257083962
2020-07-01,"Q3",175054.300300458
2020-04-01,"Q2",152033.618403796
2020-01-01,"Q1",188052.80549648
2019-10-01,"Q4",190792.62806952
2019-07-01,"Q3",192685.464425454
2019-04-01,"Q2",193355.985907754
2019-01-01,"Q1",194476.334559236
2018-10-01,"Q4",195088.474347591
2018-07-01,"Q3",196084.293053114
2018-04-01,"Q2",195977.455347396
2018-01-01,"Q1",197348.540934571
2017-10-01,"Q4",195436.868739947
2017-07-01,"Q3",193288.239498438
2017-04-01,"Q2",195037.950933215
2017-01-01,"Q1",195317.561092195
2016-10-01,"Q4",194784.704347792
2016-07-01,"Q3",193178.587671002
2016-04-01,"Q2",192032.268088366
2016-01-01,"Q1",191846.892700115
2015-10-01,"Q4",192520.034264486
2015-07-01,"Q3",193634.370785282
2015-04-01,"Q2",191952.874509945
2015-01-01,"Q1",190774.19406033
2014-10-01,"Q4",190416.570033518
2014-07-01,"Q3",189347.505506189
2014-04-01,"Q2",189607.544692261
2014-01-01,"Q1",187698.231100263
2013-10-01,"Q4",187022.781480239
2013-07-01,"Q3",186641.753011075
2013-04-01,"Q2",186051.432949499
2013-01-01,"Q1",187349.375436489
2012-10-01,"Q4",187698.366020663
2012-07-01,"Q3",186782.243614393
2012-04-01,"Q2",186978.645543227
2012-01-01,"Q1",186271.773668607
2011-10-01,"Q4",185011.833639179
2011-07-01,"Q3",184214.051837433
2011-04-01,"Q2",181500.649094444
2011-01-01,"Q1",181261.942436903
2010-10-01,"Q4",180573.194388808
2010-07-01,"Q3",179628.536301932
2010-04-01,"Q2",178594.53634661
2010-01-01,"Q1",177140.49675746
2009-10-01,"Q4",177041.091710248
2009-07-01,"Q3",173895.587976933
2009-04-01,"Q2",168432.99456125
2009-01-01,"Q1",171820.099813432
2008-10-01,"Q4",183766.841624446
2008-07-01,"Q3",187402.517658488
2008-04-01,"Q2",187854.087148523
2008-01-01,"Q1",187241.93701327
2007-10-01,"Q4",187832.147374592
2007-07-01,"Q3",188030.748352489
2007-04-01,"Q2",187998.15924592
2007-01-01,"Q1",187407.687147929
2006-10-01,"Q4",186748.337079682
2006-07-01,"Q3",186732.201705835
2006-04-01,"Q2",186907.264663047
2006-01-01,"Q1",185931.999198986
2005-10-01,"Q4",182988.413532282
2005-07-01,"Q3",180278.886908744
2005-04-01,"Q2",179044.37167536
2005-01-01,"Q1",179672.384753753
