"date","Primer cuartil","Mediana","Tercer cuartil"
2023-08-01,3.5,3.53,3.73
2023-09-01,3.5,3.6,3.75
2023-10-01,3.5,3.6,3.73
2023-11-01,3.5,3.5,3.7
2023-12-01,3.5,3.6,3.7
2024-01-01,3.5,3.5,3.7
2024-02-01,3.43,3.5,3.7
2024-03-01,3.42,3.5,3.7
2024-04-01,3.5,3.5,3.7
2024-05-01,3.5,3.55,3.75
2024-06-01,3.5,3.6,3.71
2024-07-01,3.5,3.6,3.75
2024-08-01,3.5,3.6,3.73
2024-09-01,3.5,3.65,3.75
2024-10-01,3.5,3.6,3.75
2024-11-01,3.5,3.6,3.8
2024-12-01,3.5,3.6,3.8
2025-01-01,3.5,3.6,3.8
2025-02-01,3.5,3.6,3.8
2025-03-01,3.5,3.6,3.8
2025-04-01,3.5,3.6,3.76
2025-05-01,3.5,3.6,3.73
2025-06-01,3.5,3.62,3.79
