"date","value"
2025-04-25,19.5478
2025-04-28,19.5723
2025-04-29,19.5868
2025-04-30,19.6095
2025-05-02,19.657
2025-05-05,19.6365
2025-05-06,19.6785
2025-05-07,19.588
2025-05-08,19.5642
2025-05-09,19.4912
2025-05-12,19.6162
2025-05-13,19.4373
2025-05-14,19.363
2025-05-15,19.478
2025-05-16,19.5147
2025-05-19,19.3723
2025-05-20,19.2648
2025-05-21,19.3198
2025-05-22,19.3227
2025-05-23,19.2748
2025-05-26,19.2188
2025-05-27,19.2338
2025-05-28,19.4
2025-05-29,19.328
2025-05-30,19.3858
2025-06-02,19.2338
2025-06-03,19.2638
2025-06-04,19.1932
2025-06-05,19.17
2025-06-06,19.1317
2025-06-09,19.0595
2025-06-10,19.0518
2025-06-11,18.879
2025-06-12,18.9068
2025-06-13,18.9302
2025-06-16,18.9083
2025-06-17,18.9872
2025-06-18,19.0047
2025-06-19,19.0898
2025-06-20,19.1458
2025-06-23,19.1527
2025-06-24,19.0267
2025-06-25,18.9203
2025-06-26,18.8928
2025-06-27,18.8483
2025-06-30,18.8332
2025-07-01,18.765
2025-07-02,18.754
2025-07-03,18.6652
2025-07-04,18.6327
2025-07-07,18.6698
2025-07-08,18.714
2025-07-09,18.5733
2025-07-10,18.6267
2025-07-11,18.6595
2025-07-14,18.751
2025-07-15,18.8397
2025-07-16,18.7178
2025-07-17,18.7685
2025-07-18,18.72
2025-07-21,18.6455
2025-07-22,18.6212
2025-07-23,18.5735
2025-07-24,18.5538
